SenIP,SenR,SenDFL,SenIPFirst,SenRFirst,SenDFLFirst
20,756,473,2,7,4
18,680,454,1,6,4
19,691,442,1,6,4
18,759,443,1,7,4
17,924,609,1,9,6
22,687,501,2,6,5
17,591,457,1,5,4
16,563,518,1,5,5
37,596,570,3,5,5
31,846,692,3,8,6
37,635,519,3,6,5
8,248,319,8,2,3
18,267,205,1,2,2
4,33,52,4,3,5
11,744,775,1,7,7
14,755,613,1,7,6
17,652,792,1,6,7
22,405,509,2,4,5
16,661,600,1,6,6
3,31,26,3,3,2
2,21,18,2,2,1
10,213,176,1,2,1
7,173,382,7,1,3
8,71,64,8,7,6
5,147,112,5,1,1
30,481,459,3,4,4
26,888,756,2,8,7
16,541,501,1,5,5
27,828,672,2,8,6
21,370,458,2,3,4
14,469,391,1,4,3
23,449,475,2,4,4
31,631,618,3,6,6
5,95,79,5,9,7
32,571,952,3,5,9
27,392,613,2,3,6
55,677,1003,5,6,1
13,99,217,1,9,2
56,660,1181,5,6,1
1,228,77,1,2,7
5,92,83,5,9,8
19,253,198,1,2,1
5,82,123,5,8,1
32,445,829,3,4,8
15,214,428,1,2,4
34,584,1067,3,5,1
19,259,543,1,2,5
20,453,733,2,4,7
27,694,962,2,6,9
4,91,66,4,9,6
0,0,0,0,0,0
14,178,122,1,1,1
8,60,66,8,6,6
4,107,73,4,1,7
17,129,94,1,1,9
34,296,301,3,2,3
12,87,91,1,8,9
6,72,39,6,7,3
16,175,284,1,1,2
13,98,87,1,9,8
8,79,84,8,7,8
59,792,715,5,7,7
29,175,193,2,1,1
20,239,213,2,2,2
36,448,330,3,4,3
15,175,121,1,1,1
4,46,20,4,4,2
10,131,122,1,1,1
26,210,156,2,2,1
21,147,110,2,1,1
4,81,67,4,8,6
4,78,65,4,7,6
30,572,495,3,5,4
27,498,433,2,4,4
30,429,467,3,4,4
35,341,383,3,3,3
0,36,33,0,3,3
19,280,309,1,2,3
22,688,516,2,6,5
7,85,56,7,8,5
